SeasonID,RaceID,SprintIndex,Team,PaceDiffAvg,PaceDiffClearAvg,PaceDiffMeanAvg,PaceDiffClearMeanAvg,PaceDiffDeltaAvg,PaceDiffClearDeltaAvg,PaceDiffLapsCountBetterID,PaceDiffClearLapsCountBetterID,PaceDiffValueBetterID,PaceDiffValueBetter
2024,2024011,1,Aston Martin,-0.1954313725490196,-0.1173725490196078,-0.1737872340425531,-0.0915425531914893,-0.2995294117647059,-0.3369019607843137,19.0,19.0,19.0,-0.0456666666666666
2024,2024021,1,Aston Martin,0.4258297872340425,0.4568723404255319,0.314,0.359,-0.7226212121212121,-0.755780303030303,19.0,19.0,19.0,0.4719545454545455
2024,2024031,1,Aston Martin,-0.1112244897959183,-0.0454897959183673,-0.1049673913043478,-0.0420760869565217,-0.17841,-0.2353833333333333,19.0,19.0,19.0,-0.02384
2024,2024041,1,Aston Martin,-0.0246516853932584,0.0505280898876404,-0.0364756097560975,0.0451219512195122,-0.7689625884732052,-0.7255753286147624,19.0,19.0,19.0,0.3468695652173913
2024,2024051,1,Aston Martin,0.4039459459459459,0.4796891891891892,0.407359375,0.476765625,-0.4744576023391812,-0.5202616959064328,19.0,19.0,19.0,0.6347631578947367
2024,2024061,1,Aston Martin,-0.3772608695652173,-0.3005217391304348,-0.3614666666666666,-0.2862777777777778,0.006904964539007,0.085234988179669,19.0,19.0,10.0,-0.3737333333333332
2024,2024071,1,Aston Martin,-0.2956306306306306,-0.1986936936936937,-0.27021,-0.17716,-0.2035195567144719,-0.1813311603650586,10.0,10.0,10.0,-0.2002881355932203
2024,2024081,1,Aston Martin,-0.8541830985915493,-0.7254225352112676,-0.835891304347826,-0.7095,0.6138852491562439,0.572514989080802,10.0,10.0,10.0,-0.5385942028985505
2024,2024091,1,Aston Martin,0.0091415094339622,0.0566037735849056,0.0091415094339622,0.0566037735849056,-0.5848490566037736,-0.5947924528301887,19.0,19.0,19.0,0.301566037735849
2024,2024101,1,Aston Martin,-0.4574745762711864,-0.3489745762711864,-0.4424090909090909,-0.3260181818181818,-0.1870169491525424,-0.1989322033898304,19.0,19.0,19.0,-0.3639661016949152
2024,2024111,1,Aston Martin,-0.4990916666666666,-0.3893916666666666,-0.4798396226415094,-0.3816698113207547,0.0099991645781119,0.0031520467836257,10.0,10.0,19.0,-0.4938421052631578
2024,2024121,1,Aston Martin,0.0288695652173913,0.2827826086956521,0.0383977272727272,0.3038522727272727,0.0762173913043478,0.0505652173913043,19.0,19.0,19.0,0.0669782608695652
2024,2024131,1,Aston Martin,-0.17259375,-0.0953515625,-0.1643416666666666,-0.0901916666666666,-0.15221875,-0.145046875,10.0,10.0,10.0,-0.0964843749999999
2024,2024141,1,Aston Martin,-0.6805125000000001,-0.6201,-0.6908076923076923,-0.6288461538461538,-0.231425,-0.25175,19.0,19.0,19.0,-0.5648
2024,2024151,1,Aston Martin,-0.3198358208955223,-0.2108955223880597,-0.3236818181818182,-0.213090909090909,-0.1273731343283582,-0.1233432835820895,19.0,19.0,19.0,-0.2561492537313433
2024,2024161,1,Aston Martin,-0.2629111111111111,-0.1623,-0.265425,-0.159175,-0.4581860465116279,-0.2987278574962889,19.0,19.0,19.0,-0.044
2024,2024171,1,Aston Martin,-0.2510235294117647,-0.1830588235294117,-0.2908157894736842,-0.2301842105263158,-0.5271916666666666,-0.5350583333333333,19.0,19.0,19.0,-0.0029333333333333
2024,2024181,1,Aston Martin,-0.4828245614035087,-0.3593684210526316,-0.4932053571428571,-0.3675446428571428,-0.6532631578947369,-0.5309473684210526,19.0,19.0,19.0,-0.1561929824561403
2024,2024191,1,Aston Martin,-0.8457872340425533,-0.6785,-0.8360326086956522,-0.6651086956521739,-0.1545531914893617,-0.2223617021276596,19.0,19.0,19.0,-0.7685106382978721
2024,2024201,1,Aston Martin,-0.6359558823529411,-0.4843235294117646,-0.7145,-0.588,-0.3080398126463699,-0.3655971896955503,10.0,10.0,10.0,-0.6042459016393443
2024,2024211,1,Aston Martin,,,,,,,,,,
2024,2024221,1,Aston Martin,-0.3222873563218391,-0.2363908045977011,-0.3517564102564102,-0.2627435897435897,0.0592098308668076,0.0844799154334038,10.0,10.0,10.0,-0.2930227272727272
2024,2024231,1,Aston Martin,,,,,,,,,,
2024,2024241,1,Aston Martin,-0.2072178217821782,-0.1356138613861386,-0.1780978260869565,-0.1144130434782608,-0.3738231372549019,-0.3108149019607843,19.0,19.0,19.0,-0.022156862745098
