SeasonID,SprintIndex,FullName,WinnerQualificationSum,WinnerRaceSum,FastestLapSum,RacesTotal,WinnerRaceUnique,WinnerQualificationUnique,FastestLapUnique,CompetitionWins,CompetitionPoles,CompetitionFastLaps,CompetitionRating
2022,2,Alexander Albon,0,0.0,0.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Carlos Sainz,0,0.0,2.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Charles Leclerc,0,0.0,4.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Daniel Ricciardo,0,0.0,0.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Esteban Ocon,0,0.0,0.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Fernando Alonso,0,0.0,0.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,George Russell,0,0.0,5.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Guanyu Zhou,0,0.0,1.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Kevin Magnussen,0,0.0,0.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Lance Stroll,0,0.0,0.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Lando Norris,0,0.0,2.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Lewis Hamilton,0,0.0,2.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Max Verstappen,0,0.0,5.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Mick Schumacher,0,0.0,0.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Nicholas Latifi,0,0.0,0.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Nico Hulkenberg,0,0.0,0.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Nyck De Vries,0,0.0,0.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Pierre Gasly,0,0.0,0.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Sebastian Vettel,0,0.0,0.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Sergio Perez,0,0.0,4.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Valtteri Bottas,0,0.0,0.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
2022,2,Yuki Tsunoda,0,0.0,0.0,25,0.0,0.0,8,0.0,0.0,0.32,0.00
