SeasonID,EventIndex,EventNumber,RaceID,SprintIndex,Team,PaceDiffAvg,PaceDiffClearAvg,PaceDiffMeanAvg,PaceDiffClearMeanAvg,PaceDiffDeltaAvg,PaceDiffClearDeltaAvg,PaceDiffLapsCountBetterID,PaceDiffClearLapsCountBetterID,PaceDiffValueBetterID,PaceDiffValueBetter
2022,3,4,2022040,0,Red Bull Racing,1.404,1.473,1.404,1.473,0.088,0.068,equal,5.0,2.0,1.4475000000000002
2022,3,4,2022040,0,Ferrari,0.956,1.101,0.956,1.101,0.483,0.333,6.0,6.0,6.0,1.197375
2022,3,4,2022040,0,McLaren,0.009,0.079,0.009,0.079,0.033,0.103,4.0,4.0,4.0,0.0255625
2022,3,4,2022040,0,Alfa Romeo,-,-,-,-,-,-,,,-,
2022,3,4,2022040,0,Haas F1 Team,-0.237,-0.132,-0.237,-0.132,-0.127,-0.014,16.0,16.0,16.0,-0.17375
2022,3,4,2022040,0,Alpine,-0.437,-0.378,-0.437,-0.378,0.391,0.509,19.0,19.0,19.0,-0.2419374999999999
2022,3,4,2022040,0,Mercedes,-0.419,-0.337,-0.419,-0.337,0.234,0.195,equal,equal,14.0,-0.3022499999999999
2022,3,4,2022040,0,Alpha Tauri,-0.47,-0.445,-0.47,-0.445,0.138,0.188,9.0,9.0,9.0,-0.40125
2022,3,4,2022040,0,Aston Martin,-0.645,-0.533,-0.645,-0.533,0.012,0.071,10.0,10.0,15.0,-0.6389374999999999
2022,3,4,2022040,0,Williams,-1.01,-0.921,-1.01,-0.921,0.153,0.177,24.0,24.0,24.0,-0.9330625
2022,11,11,2022110,0,Red Bull Racing,0.957,0.995,0.957,0.995,0.585,0.564,2.0,2.0,2.0,1.2497142857142858
2022,11,11,2022110,0,Ferrari,1.183,1.251,1.183,1.251,0.151,0.168,6.0,6.0,6.0,1.2586190476190475
2022,11,11,2022110,0,Mercedes,0.365,0.391,0.365,0.391,0.818,0.812,14.0,14.0,14.0,0.7742857142857142
2022,11,11,2022110,0,Alpine,-,-,-,-,-,-,,,-,
2022,11,11,2022110,0,Haas F1 Team,-0.205,-0.107,-0.205,-0.107,0.103,-0.002,22.0,22.0,22.0,-0.1538571428571428
2022,11,11,2022110,0,Alfa Romeo,-0.368,-0.246,-0.368,-0.246,0.323,0.254,3.0,3.0,3.0,-0.2063809523809523
2022,11,11,2022110,0,McLaren,-0.185,-0.137,-0.185,-0.137,0.029,0.021,4.0,4.0,4.0,-0.1703333333333333
2022,11,11,2022110,0,Aston Martin,-1.442,-0.614,-1.531,-0.635,1.9,0.257,10.0,10.0,10.0,-0.5502857142857144
2022,11,11,2022110,0,Alpha Tauri,-0.72,-0.623,-0.72,-0.623,0.213,0.233,17.0,17.0,17.0,-0.6135714285714288
2022,11,11,2022110,0,Williams,-1.053,-0.978,-1.053,-0.978,0.844,0.932,24.0,24.0,24.0,-0.6310952380952382
2022,22,21,2022210,0,Red Bull Racing,0.613,0.688,0.613,0.688,-0.179,-0.137,5.0,5.0,5.0,0.7021363636363636
2022,22,21,2022210,0,Alpha Tauri,-0.492,-0.414,-0.492,-0.414,0.595,0.664,17.0,17.0,17.0,-0.1942272727272727
2022,22,21,2022210,0,Alpine,-0.306,-0.207,-0.3,-0.199,1.797,1.707,19.0,19.0,19.0,0.597904761904762
2022,22,21,2022210,0,Ferrari,0.794,0.832,0.794,0.832,-0.164,-0.177,8.0,8.0,8.0,0.8759090909090909
2022,22,21,2022210,0,Aston Martin,-0.227,-0.183,-0.227,-0.183,-0.496,-0.54,15.0,15.0,15.0,0.0216818181818181
2022,22,21,2022210,0,Haas F1 Team,-0.377,-0.276,-0.377,-0.276,0.117,0.217,22.0,22.0,22.0,-0.3186818181818181
2022,22,21,2022210,0,Williams,-1.613,-1.532,-1.253,-1.158,1.096,1.124,24.0,24.0,24.0,-0.7049
2022,22,21,2022210,0,Alfa Romeo,-0.395,-0.25,-0.395,-0.25,-0.006,0.057,3.0,equal,3.0,-0.3920909090909091
2022,22,21,2022210,0,McLaren,-0.229,-0.149,-0.229,-0.149,-0.327,-0.391,4.0,4.0,4.0,-0.0658636363636363
2022,22,21,2022210,0,Mercedes,1.002,1.069,1.002,1.069,-0.045,-0.021,14.0,14.0,14.0,1.0250454545454544
