SeasonID,EventIndex,EventNumber,RaceID,SprintIndex,DriverID,DriverIDT,TeamID,Number,Laptime,LaptimeClear,PaceDiff,PaceDiffClear,PaceMarker,PLabel,PaceAvg,PaceClearAvg,PaceAvgLabel,PaceClearAvgLabel,PacePelotoneAvg,PaceClearPelotoneAvg,PacePelotoneAvgLabel,PaceClearPelotoneAvgLabel,PaceDiffRankOrder,PaceDiffClearRankOrder,PaceDiffByWorst,PaceDiffClearByWorst,PaceDiffByBest,PaceDiffClearByBest,PaceDiffBetterLapsCount,PaceDiffBetterLapsCountSum,PaceDiffBetterLapsCountPerc,EventID
2025,1,2,2025020,0,1,1-5,5,44,96.937,96.852,1.294,1.379,98.291,1,96.937,96.852,01:36.937,01:36.852,98.291,98.231,01:38.291,01:38.231,1,1,2.769,2.7270000000000003,0.0,0.0,12.0,17.0,70.6,14
2025,1,2,2025020,0,28,28-9,9,81,97.179,97.179,1.052,1.052,98.291,2,97.179,97.179,01:37.179,01:37.179,98.291,98.231,01:38.291,01:38.231,2,2,2.527,2.4000000000000004,0.242,0.3269999999999999,15.0,17.0,88.2,14
2025,1,2,2025020,0,2,2-14,14,1,97.448,97.372,0.783,0.859,98.291,3,97.448,97.372,01:37.448,01:37.372,98.291,98.231,01:38.291,01:38.231,5,5,2.258,2.207,0.511,0.52,15.0,17.0,88.2,14
2025,1,2,2025020,0,14,14-10,10,63,97.363,97.333,0.868,0.898,98.291,4,97.363,97.333,01:37.363,01:37.333,98.291,98.231,01:38.291,01:38.231,4,3,2.343,2.246,0.426,0.481,16.0,17.0,94.1,14
2025,1,2,2025020,0,6,6-5,5,16,97.351,97.351,0.88,0.880,98.291,5,97.351,97.351,01:37.351,01:37.351,98.291,98.231,01:38.291,01:38.231,3,4,2.355,2.228,0.414,0.499,5.0,17.0,29.4,14
2025,1,2,2025020,0,9,9-12,12,22,97.901,97.866,0.331,0.365,98.291,6,97.901,97.866,01:37.901,01:37.866,98.291,98.231,01:38.291,01:38.231,7,7,1.806,1.713,0.963,1.014,16.0,17.0,94.1,14
2025,1,2,2025020,0,35,35-10,10,12,97.921,97.9,0.311,0.331,98.291,7,97.921,97.9,01:37.921,01:37.900,98.291,98.231,01:38.291,01:38.231,9,9,1.786,1.679,0.983,1.048,1.0,17.0,5.9,14
2025,1,2,2025020,0,4,4-9,9,4,97.872,97.777,0.36,0.454,98.291,8,97.872,97.777,01:37.872,01:37.777,98.291,98.231,01:38.291,01:38.231,6,6,1.835,1.802,0.934,0.925,2.0,17.0,11.8,14
2025,1,2,2025020,0,10,10-4,4,18,97.988,97.918,0.243,0.313,98.291,9,97.988,97.918,01:37.988,01:37.918,98.291,98.231,01:38.291,01:38.231,10,10,1.718,1.661,1.0510000000000002,1.066,16.0,17.0,94.1,14
2025,1,2,2025020,0,19,19-4,4,14,98.682,98.65,-0.451,-0.419,98.291,10,98.682,98.65,01:38.682,01:38.650,98.291,98.231,01:38.291,01:38.231,12,13,1.024,0.929,1.745,1.798,1.0,17.0,5.9,14
