SprintIndex,SeasonID,RaceID,EventIndex,EventAbbreviation,LapNumberFlow,LapNumber,EventAbbMiddleMarker,EventTicksMarker,isSprint
0,2025,2025020,1,CHN*,1,1.0,0,1,1
0,2025,2025020,1,CHN*,2,2.0,0,0,1
0,2025,2025020,1,CHN*,3,3.0,0,0,1
0,2025,2025020,1,CHN*,4,4.0,0,0,1
0,2025,2025020,1,CHN*,5,5.0,0,0,1
0,2025,2025020,1,CHN*,6,6.0,0,0,1
0,2025,2025020,1,CHN*,7,7.0,0,0,1
0,2025,2025020,1,CHN*,8,8.0,0,0,1
0,2025,2025020,1,CHN*,9,9.0,0,0,1
0,2025,2025020,1,CHN*,10,10.0,1,0,1
0,2025,2025020,1,CHN*,11,11.0,0,0,1
0,2025,2025020,1,CHN*,12,12.0,0,0,1
0,2025,2025020,1,CHN*,13,13.0,0,0,1
0,2025,2025020,1,CHN*,14,14.0,0,0,1
0,2025,2025020,1,CHN*,15,15.0,0,0,1
0,2025,2025020,1,CHN*,16,16.0,0,0,1
0,2025,2025020,1,CHN*,17,17.0,0,0,1
0,2025,2025020,1,CHN*,18,18.0,0,0,1
0,2025,2025020,1,CHN*,19,19.0,0,0,1
0,2025,2025060,6,MIA*,20,1.0,0,1,1
0,2025,2025060,6,MIA*,21,2.0,0,0,1
0,2025,2025060,6,MIA*,22,3.0,0,0,1
0,2025,2025060,6,MIA*,23,4.0,0,0,1
0,2025,2025060,6,MIA*,24,5.0,0,0,1
0,2025,2025060,6,MIA*,25,6.0,0,0,1
0,2025,2025060,6,MIA*,26,7.0,0,0,1
0,2025,2025060,6,MIA*,27,8.0,0,0,1
0,2025,2025060,6,MIA*,28,9.0,1,0,1
0,2025,2025060,6,MIA*,29,10.0,0,0,1
0,2025,2025060,6,MIA*,30,11.0,0,0,1
0,2025,2025060,6,MIA*,31,12.0,0,0,1
0,2025,2025060,6,MIA*,32,13.0,0,0,1
0,2025,2025060,6,MIA*,33,14.0,0,0,1
0,2025,2025060,6,MIA*,34,15.0,0,0,1
0,2025,2025060,6,MIA*,35,16.0,0,0,1
0,2025,2025060,6,MIA*,36,17.0,0,0,1
0,2025,2025060,6,MIA*,37,18.0,0,0,1
0,2025,2025130,14,BEL*,38,1.0,0,1,1
0,2025,2025130,14,BEL*,39,2.0,0,0,1
0,2025,2025130,14,BEL*,40,3.0,0,0,1
0,2025,2025130,14,BEL*,41,4.0,0,0,1
0,2025,2025130,14,BEL*,42,5.0,0,0,1
0,2025,2025130,14,BEL*,43,6.0,0,0,1
0,2025,2025130,14,BEL*,44,7.0,0,0,1
0,2025,2025130,14,BEL*,45,8.0,1,0,1
0,2025,2025130,14,BEL*,46,9.0,0,0,1
0,2025,2025130,14,BEL*,47,10.0,0,0,1
0,2025,2025130,14,BEL*,48,11.0,0,0,1
0,2025,2025130,14,BEL*,49,12.0,0,0,1
0,2025,2025130,14,BEL*,50,13.0,0,0,1
