DriverID,FullName,LastName,SeasonID,SprintIndex,Number,Color,Team,DriverIDT,CountryCode,CountryCodeRus,ConsistencyNormalizedAvg,OvertakesNormalizedAvg,QualiTeammateDiscreteAvg,ConsistencyTeammateDiscreteAvg,PaceTeammateDiscreteAvg,StartTeammateDiscreteAvg,OvertakesTeammateDiscreteAvg,MistakesTeammateDiscreteAvg,QualiTeammateNormalizedAvg,ConsistencyTeammateNormalizedAvg,PaceTeammateNormalizedAvg,StartTeammateNormalizedAvg,OvertakesTeammateNormalizedAvg,MistakesTeammateNormalizedAvg,PaceNormalizedAvg,StartNormalizedAvg,LevelNormalizedAvg,Label,RacesParticipated,Teammate,TeammateAbb
9,Yuki Tsunoda,Tsunoda,2021,0,22,#2B4562,Alpha Tauri,9_Alpha_Tauri,JPN,Япония,7.68,7.00,-,0.00,0.00,5.0,10.0,3.33,-,4.68,4.56,5.857292341422093,5.295295295295295,6.61521924940828,3.80,4.83,7.09,2021,3.0,Pierre Gasly,GAS
9,Yuki Tsunoda,Tsunoda,2021,1,22,#2B4562,Alpha Tauri,9_Alpha_Tauri,JPN,Япония,6.83,5.90,0.45,3.53,1.76,4.705882352941177,3.5294117647058827,2.27,3.89,4.46,4.49,4.750847564203627,4.779753128625242,4.935987913067742,5.28,5.23,6.45,2021,22.0,Pierre Gasly,GAS
9,Yuki Tsunoda,Tsunoda,2021,2,22,#2B4562,Alpha Tauri,9_Alpha_Tauri,JPN,Япония,6.95,6.06,0.45,3.16,1.58,4.7368421052631575,4.2105263157894735,2.40,3.89,4.49,4.49,4.867315435489782,4.837035591588581,5.187872613518822,5.07,5.18,6.54,2021,25.0,Pierre Gasly,GAS
9,Yuki Tsunoda,Tsunoda,2022,0,22,#4E7C9B,Alpha Tauri,9_Alpha_Tauri,JPN,Япония,7.84,6.46,0.45,6.67,3.33,6.666666666666666,0.0,10.00,3.89,5.14,4.78,6.608532214354401,4.484324536516604,7.174137720977391,4.34,7.26,7.51,2022,3.0,Pierre Gasly,GAS
9,Yuki Tsunoda,Tsunoda,2022,1,22,#4E7C9B,Alpha Tauri,9_Alpha_Tauri,JPN,Япония,5.92,5.24,4.09,5.26,3.68,5.7894736842105265,5.7894736842105265,4.09,4.77,4.71,4.51,5.3677220418233285,4.892739763360735,4.3442971438457185,3.60,6.42,5.93,2022,22.0,Pierre Gasly,GAS
9,Yuki Tsunoda,Tsunoda,2022,2,22,#4E7C9B,Alpha Tauri,9_Alpha_Tauri,JPN,Япония,6.17,5.40,4.09,5.45,3.64,5.909090909090909,5.0,4.80,4.77,4.77,4.55,5.536923428986657,4.837046777881991,4.730184495272765,3.70,6.52,6.14,2022,25.0,Pierre Gasly,GAS
9,Yuki Tsunoda,Tsunoda,2023,0,22,#5E8FAA,Alpha Tauri,9_Alpha_Tauri,JPN,Япония,5.36,7.51,5.00,5.00,2.50,7.5,7.5,5.00,4.39,4.84,5.02,5.773281596452328,5.3992908070937204,6.791135364691473,4.96,4.78,5.60,2023,6.0,Daniel Ricciardo,RIC
9,Yuki Tsunoda,Tsunoda,2023,1,22,#5E8FAA,Alpha Tauri,9_Alpha_Tauri,JPN,Япония,6.93,4.65,7.27,6.84,5.79,8.421052631578947,4.7368421052631575,5.91,5.75,5.45,5.69,5.6679812503848055,5.117893855536506,4.82171247543168,4.40,6.45,6.47,2023,22.0,Nyck De Vries,DEV
9,Yuki Tsunoda,Tsunoda,2023,2,22,#5E8FAA,Alpha Tauri,9_Alpha_Tauri,JPN,Япония,6.62,5.22,6.79,6.52,5.22,8.26086956521739,5.217391304347826,5.71,5.46,5.34,5.57,5.686294354048723,5.166832455807326,5.07859372185687,4.52,6.06,6.30,2023,28.0,Nyck De Vries,DEV
9,Yuki Tsunoda,Tsunoda,2024,0,22,#6692FF,RB,9_RB,JPN,Япония,5.82,6.77,3.33,5.00,5.00,5.0,5.0,5.00,3.83,4.46,4.54,5.865726739014411,5.040153582216878,5.845427609787196,3.44,5.86,5.98,2024,6.0,['Daniel Ricciardo' 'Liam Lawson'],['LAW' 'RIC']
