SeasonID,RaceID,SprintIndex,DriverID,Team,Number,Color,FullName,Abbreviation,Laptime,LaptimeClear,PaceDiff,PaceDiffClear,PaceMarker,ClassifiedPositionLabel,PaceAvg,PaceClearAvg,PaceAvgLabel,PaceClearAvgLabel,PacePelotoneAvg,PaceClearPelotoneAvg,PacePelotoneAvgLabel,PaceClearPelotoneAvgLabel,PaceDiffRankOrder,PaceDiffClearRankOrder,PaceDiffByWorst,PaceDiffClearByWorst,PaceDiffByBest,PaceDiffClearByBest,PaceDiffBetterLapsCount,PaceDiffBetterLapsCountSum,PaceDiffBetterLapsCountPerc
2023,2023040,0,19,Aston Martin,14,#358C75,Fernando Alonso,ALO,104.84236363636364,104.80754545454546,0.7990909090909092,0.834,105.72072727272727,6,104.84236363636364,104.80754545454546,01:44.842,01:44.807,105.72072727272727,105.64145454545456,01:45.720,01:45.641,6,6,3.0360000000000005,2.7902727272727272,0.6654545454545454,0.6533636363636365,9.0,11.0,81.8
2023,2023040,0,10,Aston Martin,18,#358C75,Lance Stroll,STR,105.29736363636364,105.2298181818182,0.3440909090909091,0.412,105.72072727272727,8,105.29736363636364,105.2298181818182,01:45.297,01:45.229,105.72072727272727,105.64145454545456,01:45.720,01:45.641,8,8,2.5810000000000004,2.368,1.1204545454545456,1.075636363636364,2.0,11.0,18.2
2023,2023090,0,10,Aston Martin,18,#358C75,Lance Stroll,STR,76.70636363636363,76.68681818181818,-0.2222727272727272,-0.203,76.521,4,76.70636363636363,76.68681818181818,01:16.706,01:16.686,76.521,76.48409090909091,01:16.521,01:16.484,16,15,1.5146363636363636,1.379727272727273,1.2190227272727272,1.199431818181818,9.0,22.0,40.9
2023,2023090,0,19,Aston Martin,14,#358C75,Fernando Alonso,ALO,76.69427272727272,76.58454545454545,-0.2101818181818182,-0.100,76.521,5,76.69427272727272,76.58454545454545,01:16.694,01:16.584,76.521,76.48409090909091,01:16.521,01:16.484,14,13,1.5267272727272725,1.4819545454545455,1.206931818181818,1.0972045454545454,13.0,22.0,59.1
2023,2023120,0,19,Aston Martin,14,#358C75,Fernando Alonso,ALO,-,-,-,-,-,DNF,-,-,-,-,123.8132,123.7344,02:03.813,02:03.734,20,20,-,-,-,-,-,-,-
2023,2023120,0,10,Aston Martin,18,#358C75,Lance Stroll,STR,124.2326,124.1752,-0.4982,-0.441,123.8132,11,124.2326,124.1752,02:04.232,02:04.175,123.8132,123.7344,02:03.813,02:03.734,11,10,1.9856,1.7332,3.0086,2.9514,-,-,-
2023,2023170,0,19,Aston Martin,14,#358C75,Fernando Alonso,ALO,89.72085714285716,89.611,-0.5421428571428571,-0.432,89.231,8,89.72085714285716,89.611,01:29.720,01:29.611,89.231,89.17871428571428,01:29.231,01:29.178,10,12,0.537,0.6467142857142858,2.8248571428571427,2.715142857142857,4.0,7.0,57.1
2023,2023170,0,10,Aston Martin,18,#358C75,Lance Stroll,STR,90.04814285714285,90.04814285714285,-0.8694285714285714,-0.869,89.231,13,90.04814285714285,90.04814285714285,01:30.048,01:30.048,89.231,89.17871428571428,01:29.231,01:29.178,14,15,0.2097142857142857,0.2097142857142857,3.1521428571428567,3.1521428571428567,3.0,7.0,42.9
2023,2023180,0,19,Aston Martin,14,#358C75,Fernando Alonso,ALO,101.61582352941176,101.50288235294116,-0.3720588235294118,-0.259,101.30529411764708,13,101.61582352941176,101.50288235294116,01:41.615,01:41.502,101.30529411764708,101.24376470588236,01:41.305,01:41.243,14,10,1.3561764705882355,1.3699411764705882,2.0945882352941174,2.013588235294118,7.0,13.0,53.8
2023,2023180,0,10,Aston Martin,18,#358C75,Lance Stroll,STR,101.8633846153846,101.68284615384616,-0.5806923076923076,-0.400,101.3255,DNF,101.8633846153846,101.68284615384616,01:41.863,01:41.682,101.30529411764708,101.24376470588236,01:41.305,01:41.243,15,15,1.1475429864253397,1.2289049773755658,2.3032217194570137,2.1546244343891403,6.0,13.0,46.2
2023,2023200,0,19,Aston Martin,14,#358C75,Fernando Alonso,ALO,76.59977272727272,76.52095454545454,-0.0806363636363636,-0.002,76.60822727272728,11,76.59977272727272,76.52095454545454,01:16.599,01:16.520,76.60822727272726,76.51913636363635,01:16.608,01:16.519,10,11,0.978909090909091,0.9060909090909092,1.433818181818182,1.3661363636363637,10.0,22.0,45.5
2023,2023200,0,10,Aston Martin,18,#358C75,Lance Stroll,STR,76.57072727272727,76.48368181818182,-0.051590909090909,0.035,76.60822727272728,12,76.57072727272727,76.48368181818182,01:16.570,01:16.483,76.60822727272726,76.51913636363635,01:16.608,01:16.519,9,9,1.0079545454545455,0.943409090909091,1.4047727272727273,1.328818181818182,12.0,22.0,54.5
