SprintIndex,SeasonID,RaceID,EventIndex,Team,Number,Color,DriverID,FullName,Abbreviation,LapNumber,LapNumberFlow,PaceDiff,PaceDiffTeammatesDelta,PaceDiffTeammateBest,PaceDiffTeammatesMean,PaceDiffClear
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,1.0,1,-,nan,nan,-,-
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,2.0,2,-,nan,nan,-,-
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,3.0,3,-,nan,nan,-,-
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,4.0,4,-,nan,nan,-,-
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,5.0,5,-,nan,nan,-,-
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,6.0,6,-0.124,-0.021,11.000,-0.135,-0.124
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,7.0,7,-0.527,0.021,12.000,-0.516,-0.527
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,8.0,8,-0.373,0.043,12.000,-0.351,-0.373
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,9.0,9,-0.286,-0.015,11.000,-0.293,-0.286
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,10.0,10,-0.064,-0.224,11.000,-0.176,-0.064
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,11.0,11,-0.504,0.321,12.000,-0.344,-0.120
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,12.0,12,0.031,nan,nan,-,0.031
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,13.0,13,-,nan,nan,-,-
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,14.0,14,-,nan,nan,-,-
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,15.0,15,0.267,-0.454,11.000,0.040,0.267
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,16.0,16,-0.479,-0.149,11.000,-0.553,0.077
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,17.0,17,-0.227,-0.032,11.000,-0.243,-0.227
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,18.0,18,-0.171,0.012,12.000,-0.165,-0.171
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,19.0,19,-0.506,0.116,12.000,-0.448,-0.506
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,20.0,20,0.055,-0.356,11.000,-0.123,0.055
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,21.0,21,-0.666,0.278,12.000,-0.527,-0.248
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,22.0,22,-0.673,0.129,12.000,-0.609,-0.673
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,23.0,23,-0.304,0.049,12.000,-0.279,-0.304
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,24.0,24,-0.381,-0.339,11.000,-0.550,-0.381
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,25.0,25,-0.492,0.120,12.000,-0.432,-0.492
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,26.0,26,-0.317,-0.066,11.000,-0.350,-0.317
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,27.0,27,0.142,-0.715,11.000,-0.215,0.142
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,28.0,28,0.126,-0.409,11.000,-0.078,0.126
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,29.0,29,-,nan,nan,-,-
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,30.0,30,-,nan,nan,-,-
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,31.0,31,0.089,nan,nan,-,0.089
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,32.0,32,-0.774,1.819,12.000,0.135,-0.452
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,33.0,33,-0.932,-0.151,11.000,-1.008,-0.932
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,34.0,34,-0.138,-0.074,11.000,-0.175,-0.138
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,35.0,35,-0.858,0.681,12.000,-0.517,-0.129
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,36.0,36,-0.335,0.397,12.000,-0.137,-0.335
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,37.0,37,-0.141,-0.110,11.000,-0.196,-0.141
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,38.0,38,-0.930,0.339,12.000,-0.760,-0.492
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,39.0,39,-0.834,0.148,12.000,-0.760,-0.834
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,40.0,40,-1.163,0.373,12.000,-0.977,-1.163
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,41.0,41,-1.134,0.303,12.000,-0.983,-1.134
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,42.0,42,-0.933,0.174,12.000,-0.846,-0.933
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,43.0,43,-0.511,-0.156,11.000,-0.589,-0.511
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,44.0,44,-0.911,-0.466,11.000,-1.144,-0.094
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,45.0,45,0.310,-0.676,11.000,-0.028,0.310
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,46.0,46,-0.515,0.391,12.000,-0.320,0.171
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,47.0,47,0.045,-0.170,11.000,-0.040,0.045
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,48.0,48,0.057,0.030,12.000,0.072,0.057
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,49.0,49,-0.068,0.264,12.000,0.064,-0.068
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,50.0,50,0.782,-0.029,11.000,0.768,0.782
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,51.0,51,-0.198,-0.449,11.000,-0.422,-0.198
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,52.0,52,0.136,-3.794,11.000,-1.761,0.136
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,53.0,53,-0.100,-0.320,11.000,-0.260,-0.100
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,54.0,54,0.571,-0.486,11.000,0.328,0.571
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,55.0,55,0.016,0.199,12.000,0.115,0.316
2,2021,2021011,0,Alfa Romeo Racing,7,#900000,11,Kimi Räikkönen,RAI,56.0,56,-0.317,nan,nan,-,-0.317
2,2021,2021011,0,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,1.0,1,-,nan,nan,-,-
2,2021,2021011,0,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,2.0,2,-,nan,nan,-,-
2,2021,2021011,0,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,3.0,3,-,nan,nan,-,-
2,2021,2021011,0,Alfa Romeo Racing,99,#900000,12,Antonio Giovinazzi,GIO,4.0,4,-,nan,nan,-,-
