FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Sergio Perez,11,2:02:20.238,2,1,25
Charles Leclerc,16,+2.595,1,2,18
Carlos Sainz,55,+10.305,4,3,15
Lando Norris,4,+21.133,6,4,12
Daniel Ricciardo,3,+53.282,16,5,10
Lance Stroll,18,+56.330,11,6,8
Max Verstappen,1,+58.825,8,7,6
Sebastian Vettel,5,+1:00.032,13,8,4
Lewis Hamilton,44,+1:01.515,3,9,2
Pierre Gasly,10,+1:09.576,7,10,1
Valtteri Bottas,77,+1:28.844,15,11,0
Kevin Magnussen,20,+1:32.610,9,12,0
Mick Schumacher,47,+1 Lap,12,13,0
George Russell,63,+1 Lap,PLS,14,0
Yuki Tsunoda,22,DNF,10,DNF,0
Esteban Ocon,31,DNF,17,DNF,0
Alexander Albon,23,DNF,18,DNF,0
Fernando Alonso,14,DNF,5,DNF,0
Nicholas Latifi,6,DNF,19,DNF,0
Guanyu Zhou,24,DNF,14,DNF,0
