FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lando Norris,4,1:30:45.519,1,1,26
Max Verstappen,1,+22.896,2,2,18
Charles Leclerc,16,+25.439,6,3,15
Oscar Piastri,81,+27.337,3,4,12
Carlos Sainz,55,+32.137,10,5,10
Sergio Perez,11,+39.542,5,6,8
George Russell,63,+44.617,4,7,6
Lewis Hamilton,44,+49.599,14,8,4
Pierre Gasly,10,+1 Lap,9,9,2
Fernando Alonso,14,+1 Lap,7,10,1
Nico Hulkenberg,27,+1 Lap,12,11,0
Daniel Ricciardo,3,+1 Lap,13,12,0
Lance Stroll,18,+1 Lap,8,13,0
Alexander Albon,23,+1 Lap,19,14,0
Esteban Ocon,31,+1 Lap,15,15,0
Logan Sargeant,2,+1 Lap,18,16,0
Yuki Tsunoda,22,+1 Lap,11,17,0
Kevin Magnussen,20,+1 Lap,PLS,18,0
Valtteri Bottas,77,+1 Lap,16,19,0
Guanyu Zhou,24,+1 Lap,17,20,0
