FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:27:57.940,1,1,26
Lewis Hamilton,44,+24.090,4,2,18
George Russell,63,+32.389,12,3,15
Sergio Perez,11,+35.812,11,4,12
Carlos Sainz,55,+45.698,2,5,10
Lance Stroll,18,+1:03.320,5,6,8
Fernando Alonso,14,+1:04.127,8,7,6
Esteban Ocon,31,+1:09.242,6,8,4
Guanyu Zhou,24,+1:11.878,13,9,2
Pierre Gasly,10,+1:13.530,10,10,1
Charles Leclerc,16,+1:14.419,19,11,0
Yuki Tsunoda,22,+1:15.416,15,12,0
Oscar Piastri,81,+1 Lap,9,13,0
Nyck De Vries,21,+1 Lap,14,14,0
Nico Hulkenberg,27,+1 Lap,7,15,0
Alexander Albon,23,+1 Lap,18,16,0
Lando Norris,4,+1 Lap,3,17,0
Kevin Magnussen,20,+1 Lap,17,18,0
Valtteri Bottas,77,+1 Lap,16,19,0
Logan Sargeant,2,+1 Lap,20,20,0
