FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Oscar Piastri,81,26:51.033,1,1,8
George Russell,63,+4.951,2,2,7
Lando Norris,4,+6.279,3,3,6
Max Verstappen,1,+9.054,6,4,5
Yuki Tsunoda,22,+19.327,5,5,4
Kimi Antonelli,12,+21.391,7,6,3
Fernando Alonso,14,+24.556,4,7,2
Carlos Sainz,55,+27.333,8,8,1
Isack Hadjar,6,+28.206,11,9,0
Alexander Albon,23,+28.925,10,10,0
Gabriel Bortoleto,5,+32.966,13,11,0
Oliver Bearman,87,+34.529,12,12,0
Charles Leclerc,16,+35.182,9,13,0
Liam Lawson,30,+36.916,16,14,0
Esteban Ocon,31,+38.838,15,15,0
Nico Hulkenberg,27,+39.638,14,16,0
Lewis Hamilton,44,+46.171,18,17,0
Pierre Gasly,10,+1:09.534,19,18,0
Lance Stroll,18,+1:17.960,17,19,0
Franco Colapinto,43,+1:20.804,20,20,0
