FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Oscar Piastri,81,1:38:01.989,2,1,25
Lando Norris,4,+2.141,1,2,18
Lewis Hamilton,44,+14.880,5,3,15
Charles Leclerc,16,+19.686,6,4,12
Max Verstappen,1,+21.349,3,5,10
Carlos Sainz,55,+23.073,4,6,8
Sergio Perez,11,+39.792,16,7,6
George Russell,63,+42.368,17,8,5
Yuki Tsunoda,22,+1:17.259,10,9,2
Lance Stroll,18,+1:17.976,8,10,1
Fernando Alonso,14,+1:22.460,7,11,0
Daniel Ricciardo,3,+1 Lap,9,12,0
Nico Hulkenberg,27,+1 Lap,11,13,0
Alexander Albon,23,+1 Lap,13,14,0
Kevin Magnussen,20,+1 Lap,15,15,0
Valtteri Bottas,77,+1 Lap,12,16,0
Logan Sargeant,2,+1 Lap,14,17,0
Esteban Ocon,31,+1 Lap,19,18,0
Guanyu Zhou,24,+1 Lap,18,19,0
Pierre Gasly,10,DNF,PLS,DNF,0
