FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lewis Hamilton,44,1:24:28.471,1,1,25
Max Verstappen,33,+25.743,7,2,19
Fernando Alonso,14,+59.457,3,3,15
Sergio Perez,11,+1:02.306,11,4,12
Esteban Ocon,31,+1:20.570,9,5,10
Lance Stroll,18,+1:21.274,12,6,8
Carlos Sainz,55,+1:21.911,5,7,6
Charles Leclerc,16,+1:23.126,13,8,4
Lando Norris,4,+1 Lap,4,9,2
Sebastian Vettel,5,+1 Lap,10,10,1
Pierre Gasly,10,+1 Lap,2,11,0
Daniel Ricciardo,3,+1 Lap,14,12,0
Yuki Tsunoda,22,+1 Lap,8,13,0
Kimi Räikkönen,7,+1 Lap,16,14,0
Antonio Giovinazzi,99,+1 Lap,18,15,0
Mick Schumacher,47,+1 Lap,19,16,0
George Russell,63,+1 Lap,15,17,0
Nikita Mazepin,9,+1 Lap,20,18,0
Nicholas Latifi,6,DNF,17,DNF,0
Valtteri Bottas,77,DNF,6,DNF,0
