FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:27:38.241,9,1,26
Sergio Perez,11,+5.384,1,2,18
Fernando Alonso,14,+26.305,2,3,15
George Russell,63,+33.229,6,4,12
Carlos Sainz,55,+42.511,3,5,10
Lewis Hamilton,44,+51.249,13,6,8
Charles Leclerc,16,+52.988,7,7,6
Pierre Gasly,10,+55.670,5,8,4
Esteban Ocon,31,+58.123,8,9,2
Kevin Magnussen,20,+1:02.945,4,10,1
Yuki Tsunoda,22,+1:04.309,17,11,0
Lance Stroll,18,+1:04.754,18,12,0
Valtteri Bottas,77,+1:11.637,10,13,0
Alexander Albon,23,+1:12.861,11,14,0
Nico Hulkenberg,27,+1:14.950,12,15,0
Guanyu Zhou,24,+1:18.440,14,16,0
Lando Norris,4,+1:27.717,16,17,0
Nyck De Vries,21,+1:28.949,15,18,0
Oscar Piastri,81,+1 Lap,19,19,0
Logan Sargeant,2,+1 Lap,20,20,0
