FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
George Russell,63,1:38:34.044,1,1,26
Lewis Hamilton,44,+1.529,2,2,18
Carlos Sainz,55,+4.051,7,3,15
Charles Leclerc,16,+8.441,5,4,12
Fernando Alonso,14,+9.561,17,5,10
Max Verstappen,1,+10.056,3,6,8
Sergio Perez,11,+14.080,4,7,6
Esteban Ocon,31,+18.690,16,8,4
Valtteri Bottas,77,+22.552,14,9,2
Lance Stroll,18,+23.552,15,10,1
Sebastian Vettel,5,+26.183,9,11,0
Guanyu Zhou,24,+29.325,13,12,0
Mick Schumacher,47,+29.899,12,13,0
Pierre Gasly,10,+31.867,10,14,0
Alexander Albon,23,+36.016,19,15,0
Nicholas Latifi,6,+37.038,18,16,0
Yuki Tsunoda,22,+1 Lap,PLS,17,0
Lando Norris,4,DNF,6,DNF,0
Kevin Magnussen,20,DNF,8,DNF,0
Daniel Ricciardo,3,DNF,11,DNF,0
