FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:31:44.742,1,1,26
Sergio Perez,11,+22.457,5,2,18
Carlos Sainz,55,+25.110,4,3,15
Charles Leclerc,16,+39.669,2,4,12
George Russell,63,+46.788,3,5,10
Lando Norris,4,+48.458,7,6,8
Lewis Hamilton,44,+50.324,9,7,6
Oscar Piastri,81,+56.082,8,8,4
Fernando Alonso,14,+1:14.887,6,9,2
Lance Stroll,18,+1:33.216,12,10,1
Guanyu Zhou,24,+1 Lap,17,11,0
Kevin Magnussen,20,+1 Lap,15,12,0
Daniel Ricciardo,3,+1 Lap,14,13,0
Yuki Tsunoda,22,+1 Lap,11,14,0
Alexander Albon,23,+1 Lap,13,15,0
Nico Hulkenberg,27,+1 Lap,10,16,0
Esteban Ocon,31,+1 Lap,19,17,0
Pierre Gasly,10,+1 Lap,20,18,0
Valtteri Bottas,77,+1 Lap,16,19,0
Logan Sargeant,2,+1 Lap,18,20,0
