FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Sergio Perez,11,1:32:42.436,3,1,25
Max Verstappen,1,+2.137,2,2,18
Charles Leclerc,16,+21.217,1,3,15
Fernando Alonso,14,+22.024,6,4,12
Carlos Sainz,55,+45.491,4,5,10
Lewis Hamilton,44,+46.145,5,6,8
Lance Stroll,18,+51.617,9,7,6
George Russell,63,+1:14.240,11,8,5
Lando Norris,4,+1:20.376,7,9,2
Yuki Tsunoda,22,+1:23.862,8,10,1
Oscar Piastri,81,+1:26.501,10,11,0
Alexander Albon,23,+1:28.623,12,12,0
Kevin Magnussen,20,+1:29.729,16,13,0
Pierre Gasly,10,+1:31.332,17,14,0
Esteban Ocon,31,+1:37.794,19,15,0
Logan Sargeant,2,+1:40.943,14,16,0
Nico Hulkenberg,27,+1 lap,20,17,0
Valtteri Bottas,77,+1 lap,13,18,0
Guanyu Zhou,24,DNF,15,DNF,0
Nyck De Vries,21,DNF,18,DNF,0
