FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,30:07.209,2,1,8
Lando Norris,4,+4.287,1,2,7
Sergio Perez,11,+13.617,3,3,6
George Russell,63,+25.879,4,4,5
Charles Leclerc,16,+28.560,7,5,4
Yuki Tsunoda,22,+29.210,6,6,3
Lewis Hamilton,44,+34.726,5,7,2
Carlos Sainz,55,+35.106,9,8,1
Daniel Ricciardo,3,+35.303,8,9,0
Oscar Piastri,81,+38.219,10,10,0
Fernando Alonso,14,+39.061,15,11,0
Lance Stroll,18,+39.478,17,12,0
Pierre Gasly,10,+40.621,13,13,0
Esteban Ocon,31,+42.848,16,14,0
Alexander Albon,23,+43.394,19,15,0
Kevin Magnussen,20,+56.507,11,16,0
Guanyu Zhou,24,+58.723,18,17,0
Nico Hulkenberg,27,+1:00.330,12,18,0
Valtteri Bottas,77,+1:00.749,14,19,0
Logan Sargeant,2,+1:00.945,20,20,0
