FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Sergio Perez,11,2:13:36.410,6,1,25
Sebastian Vettel,5,+1.385,11,2,18
Pierre Gasly,10,+2.762,4,3,15
Charles Leclerc,16,+3.828,1,4,12
Lando Norris,4,+4.754,9,5,10
Fernando Alonso,14,+6.382,8,6,8
Yuki Tsunoda,22,+6.624,7,7,6
Carlos Sainz,55,+7.709,5,8,4
Daniel Ricciardo,3,+8.874,13,9,2
Kimi Räikkönen,7,+9.576,14,10,1
Antonio Giovinazzi,99,+10.254,20,11,0
Valtteri Bottas,77,+11.264,10,12,0
Mick Schumacher,47,+14.241,17,13,0
Nikita Mazepin,9,+14.315,18,14,0
Lewis Hamilton,44,+17.668,2,15,0
Nicholas Latifi,6,+43.379,16,16,0
George Russell,63,DNF,15,DNF,0
Max Verstappen,33,DNF,3,DNF,0
Lance Stroll,18,DNF,19,DNF,0
Esteban Ocon,31,DNF,12,DNF,0
