FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,33,1:30:05.395,1,1,25
Lewis Hamilton,44,+20.932,2,2,19
Valtteri Bottas,77,+56.460,3,3,15
Pierre Gasly,10,+1 Lap,4,4,12
Charles Leclerc,16,+1 Lap,5,5,10
Fernando Alonso,14,+1 Lap,9,6,8
Carlos Sainz,55,+1 Lap,6,7,6
Sergio Perez,11,+1 Lap,PLS,8,4
Esteban Ocon,31,+1 Lap,8,9,2
Lando Norris,4,+1 Lap,13,10,1
Daniel Ricciardo,3,+1 Lap,10,11,0
Lance Stroll,18,+1 Lap,12,12,0
Sebastian Vettel,5,+1 Lap,15,13,0
Antonio Giovinazzi,99,+1 Lap,7,14,0
Robert Kubica,88,+1 Lap,16,15,0
Nicholas Latifi,6,+1 Lap,PLS,16,0
George Russell,63,+1 Lap,11,17,0
Mick Schumacher,47,+1 Lap,17,18,0
Yuki Tsunoda,22,DNF,14,DNF,0
Nikita Mazepin,9,DNF,18,DNF,0
