FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Oscar Piastri,81,1:38:29.849,1,1,25
Max Verstappen,1,+1.271,3,2,18
Isack Hadjar,6,+3.233,4,3,15
George Russell,63,+5.654,5,4,12
Alexander Albon,23,+6.327,15,5,10
Oliver Bearman,87,+9.044,20,6,8
Lance Stroll,18,+9.497,19,7,6
Fernando Alonso,14,+11.709,10,8,4
Yuki Tsunoda,22,+13.597,12,9,2
Esteban Ocon,31,+14.063,18,10,1
Franco Colapinto,43,+14.511,16,11,0
Liam Lawson,30,+17.063,8,12,0
Carlos Sainz,55,+17.376,9,13,0
Nico Hulkenberg,27,+19.725,17,14,0
Gabriel Bortoleto,5,+21.565,13,15,0
Kimi Antonelli,12,+22.029,11,16,0
Pierre Gasly,10,+23.629,14,17,0
Lando Norris,4,DNF,2,DNF,0
Charles Leclerc,16,DNF,6,DNF,0
Lewis Hamilton,44,DNF,7,DNF,0
