FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:39:35.912,10,1,25
Lewis Hamilton,44,+7.834,7,2,19
George Russell,63,+12.337,1,3,15
Carlos Sainz,55,+14.579,2,4,12
Sergio Perez,11,+15.688,11,5,10
Charles Leclerc,16,+16.047,3,6,8
Lando Norris,4,+1:18.300,4,7,6
Fernando Alonso,14,+1 Lap,6,8,4
Esteban Ocon,31,+1 Lap,5,9,2
Sebastian Vettel,5,+1 Lap,18,10,1
Lance Stroll,18,+1 Lap,14,11,0
Pierre Gasly,10,+1 Lap,PLS,12,0
Guanyu Zhou,24,+1 Lap,12,13,0
Mick Schumacher,47,+1 Lap,15,14,0
Daniel Ricciardo,3,+1 Lap,9,15,0
Kevin Magnussen,20,+1 Lap,13,16,0
Alexander Albon,23,+1 Lap,17,17,0
Nicholas Latifi,6,+1 Lap,19,18,0
Yuki Tsunoda,22,+1 Lap,16,19,0
Valtteri Bottas,77,+1 Lap,8,20,0
