FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lando Norris,4,1:35:21.231,3,1,25
Oscar Piastri,81,+0.698,2,2,18
George Russell,63,+21.916,4,3,15
Charles Leclerc,16,+42.560,1,4,12
Fernando Alonso,14,+59.040,5,5,10
Gabriel Bortoleto,5,+1:06.169,7,6,8
Lance Stroll,18,+1:08.174,6,7,6
Liam Lawson,30,+1:09.451,9,8,4
Max Verstappen,1,+1:12.645,8,9,2
Kimi Antonelli,12,+1 lap,15,10,1
Isack Hadjar,6,+1 lap,10,11,0
Lewis Hamilton,44,+1 lap,12,12,0
Nico Hulkenberg,27,+1 lap,18,13,0
Carlos Sainz,55,+1 lap,13,14,0
Alexander Albon,23,+1 lap,19,15,0
Esteban Ocon,31,+1 lap,17,16,0
Yuki Tsunoda,22,+1 lap,20,17,0
Franco Colapinto,43,+1 lap,14,18,0
Pierre Gasly,10,+1 lap,16,19,0
Oliver Bearman,87,DNF,11,DNF,0
