FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Sergio Perez,11,33:17.667,2,1,8
Charles Leclerc,16,+4.463,1,2,7
Max Verstappen,1,+5.065,3,3,6
George Russell,63,+1 lap,4,4,5
Carlos Sainz,55,+1 lap,5,5,4
Fernando Alonso,14,+1 lap,8,6,3
Lewis Hamilton,44,+1 lap,6,7,2
Lance Stroll,18,+1 lap,9,8,1
Alexander Albon,23,+1 lap,7,9,0
Oscar Piastri,81,+1 lap,11,10,0
Kevin Magnussen,20,+1 lap,13,11,0
Guanyu Zhou,24,+1 lap,14,12,0
Pierre Gasly,10,+1 lap,17,13,0
Nyck De Vries,21,+1 lap,18,14,0
Nico Hulkenberg,27,+1 lap,12,15,0
Valtteri Bottas,77,+1 lap,15,16,0
Lando Norris,4,+1 lap,10,17,0
Esteban Ocon,31,+1 lap,PLS,18,0
Yuki Tsunoda,22,DNF,16,DNF,0
Logan Sargeant,2,DNS,DNS,DNS,0
