FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Sergio Perez,11,1:21:14.894,1,1,25
Max Verstappen,1,+5.355,15,2,19
Fernando Alonso,14,+20.728,2,3,15
George Russell,63,+25.866,3,4,12
Lewis Hamilton,44,+31.065,7,5,10
Carlos Sainz,55,+35.876,4,6,8
Charles Leclerc,16,+43.162,12,7,6
Esteban Ocon,31,+52.832,6,8,4
Pierre Gasly,10,+54.747,9,9,2
Kevin Magnussen,20,+1:04.826,13,10,1
Yuki Tsunoda,22,+1:07.494,16,11,0
Nico Hulkenberg,27,+1:10.588,10,12,0
Guanyu Zhou,24,+1:16.060,11,13,0
Nyck De Vries,21,+1:17.478,18,14,0
Oscar Piastri,81,+1:25.021,8,15,0
Logan Sargeant,2,+1:26.293,20,16,0
Lando Norris,4,+1:26.445,19,17,0
Valtteri Bottas,77,+1 Lap,14,18,0
Alexander Albon,23,DNF,17,DNF,0
Lance Stroll,18,DNF,5,DNF,0
