FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,2:24:04.411,1,1,25
Fernando Alonso,14,+3.744,5,2,19
Pierre Gasly,10,+7.058,12,3,15
Sergio Perez,11,+10.068,7,4,12
Carlos Sainz,55,+12.541,6,5,10
Lewis Hamilton,44,+13.209,13,6,8
Lando Norris,4,+13.232,2,7,6
Alexander Albon,23,+15.155,4,8,4
Oscar Piastri,81,+16.580,8,9,2
Esteban Ocon,31,+18.346,16,10,1
Lance Stroll,18,+20.087,11,11,0
Nico Hulkenberg,27,+20.840,14,12,0
Liam Lawson,40,+26.147,19,13,0
Valtteri Bottas,77,+27.388,18,14,0
Yuki Tsunoda,22,+29.893,17,15,0
Kevin Magnussen,20,+31.410,PLS,16,0
George Russell,63,+55.754,3,17,0
Guanyu Zhou,24,DNF,15,DNF,0
Charles Leclerc,16,DNF,9,DNF,0
Logan Sargeant,2,DNF,10,DNF,0
