FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,33,1:34:36.552,1,1,25
Lewis Hamilton,44,+1.333,2,2,19
Sergio Perez,11,+42.223,3,3,15
Charles Leclerc,16,+52.246,4,4,12
Daniel Ricciardo,3,+1:16.854,6,5,10
Valtteri Bottas,77,+1:20.128,9,6,8
Carlos Sainz,55,+1:23.545,5,7,6
Lando Norris,4,+1:24.395,7,8,4
Yuki Tsunoda,22,+1 Lap,10,9,2
Sebastian Vettel,5,+1 Lap,18,10,1
Antonio Giovinazzi,99,+1 Lap,12,11,0
Lance Stroll,18,+1 Lap,13,12,0
Kimi Räikkönen,7,+1 Lap,15,13,0
George Russell,63,+1 Lap,20,14,0
Nicholas Latifi,6,+1 Lap,14,15,0
Mick Schumacher,47,+1 Lap,16,16,0
Nikita Mazepin,9,+1 Lap,17,17,0
Fernando Alonso,14,DNF,19,DNF,0
Esteban Ocon,31,DNF,11,DNF,0
Pierre Gasly,10,DNF,8,DNF,0
