FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,26:37.997,2,1,8
Oscar Piastri,81,+0.753,1,2,7
Lando Norris,4,+1.414,3,3,6
Charles Leclerc,16,+10.176,4,4,5
Esteban Ocon,31,+13.789,5,5,4
Carlos Sainz,55,+14.964,6,6,3
Oliver Bearman,87,+18.610,7,7,2
Isack Hadjar,6,+19.119,9,8,1
Gabriel Bortoleto,5,+22.183,10,9,0
Liam Lawson,30,+22.897,11,10,0
Yuki Tsunoda,22,+24.551,12,11,0
George Russell,63,+25.969,13,12,0
Lance Stroll,18,+26.595,15,13,0
Fernando Alonso,14,+29.046,14,14,0
Lewis Hamilton,44,+30.175,18,15,0
Alexander Albon,23,+30.941,16,16,0
Kimi Antonelli,12,+31.981,19,17,0
Nico Hulkenberg,27,+32.867,17,18,0
Franco Colapinto,43,+38.072,20,19,0
Pierre Gasly,10,DNF,8,DNF,0
