FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:30:02.112,2,1,25
Lewis Hamilton,44,+10.587,4,2,18
George Russell,63,+16.495,6,3,15
Sergio Perez,11,+17.310,3,4,12
Carlos Sainz,55,+28.872,19,5,11
Fernando Alonso,14,+42.879,7,6,8
Lando Norris,4,+52.026,5,7,6
Esteban Ocon,31,+56.959,10,8,4
Daniel Ricciardo,3,+1:00.372,9,9,2
Lance Stroll,18,+1:02.549,15,10,1
Sebastian Vettel,5,+1:04.494,12,11,0
Pierre Gasly,10,+1:05.448,14,12,0
Alexander Albon,23,+1:08.565,13,13,0
Valtteri Bottas,77,+1:16.666,11,14,0
Mick Schumacher,47,+1:20.394,17,15,0
Guanyu Zhou,24,+1 Lap,16,16,0
Nicholas Latifi,6,DNF,18,DNF,0
Kevin Magnussen,20,DNF,20,DNF,0
Charles Leclerc,16,DNF,1,DNF,0
Yuki Tsunoda,22,DNF,8,DNF,0
