FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
George Russell,63,1:40:22.367,1,1,25
Max Verstappen,1,+5.430,2,2,18
Lando Norris,4,+6.066,5,3,15
Oscar Piastri,81,+8.146,3,4,12
Kimi Antonelli,12,+33.681,4,5,10
Charles Leclerc,16,+45.996,7,6,8
Fernando Alonso,14,+1:20.667,10,7,6
Lewis Hamilton,44,+1:25.251,6,8,4
Oliver Bearman,87,+1:33.527,9,9,2
Carlos Sainz,55,+1 lap,18,10,1
Isack Hadjar,6,+1 lap,8,11,0
Yuki Tsunoda,22,+1 lap,13,12,0
Lance Stroll,18,+1 lap,15,13,0
Alexander Albon,23,+1 lap,20,14,0
Liam Lawson,30,+1 lap,12,15,0
Franco Colapinto,43,+1 lap,16,16,0
Gabriel Bortoleto,5,+1 lap,14,17,0
Esteban Ocon,31,+1 lap,17,18,0
Pierre Gasly,10,+1 lap,19,19,0
Nico Hulkenberg,27,+1 lap,11,20,0
