FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:27:39.168,1,1,26
Oscar Piastri,81,+4.833,6,2,18
Lando Norris,4,+5.969,10,3,15
George Russell,63,+34.119,2,4,12
Charles Leclerc,16,+38.976,5,5,10
Fernando Alonso,14,+49.032,4,6,8
Esteban Ocon,31,+1:02.390,8,7,6
Valtteri Bottas,77,+1:06.563,9,8,4
Guanyu Zhou,24,+1:16.127,19,9,2
Sergio Perez,11,+1:20.181,20,10,1
Lance Stroll,18,+1:21.652,16,11,0
Pierre Gasly,10,+1:22.300,7,12,0
Alexander Albon,23,+1:31.014,13,13,0
Kevin Magnussen,20,+1 lap,18,14,0
Yuki Tsunoda,22,+1 lap,11,15,0
Nico Hulkenberg,27,+1 lap,14,16,0
Liam Lawson,40,+1 lap,17,17,0
Logan Sargeant,2,DNF,15,DNF,0
Lewis Hamilton,44,DNF,3,DNF,0
Carlos Sainz,55,DNS,DNS,DNS,0
