FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lando Norris,4,1:40:52.571,1,1,25
Max Verstappen,1,+20.945,2,2,18
Oscar Piastri,81,+41.823,5,3,15
George Russell,63,+1:01.040,4,4,12
Charles Leclerc,16,+1:02.430,9,5,10
Lewis Hamilton,44,+1:25.248,3,6,8
Carlos Sainz,55,+1:36.039,10,7,6
Fernando Alonso,14,+1 Lap,7,8,4
Nico Hulkenberg,27,+1 Lap,6,9,2
Sergio Perez,11,+1 Lap,13,10,1
Franco Colapinto,43,+1 Lap,12,11,0
Yuki Tsunoda,22,+1 Lap,8,12,0
Esteban Ocon,31,+1 Lap,15,13,0
Lance Stroll,18,+1 Lap,17,14,0
Guanyu Zhou,24,+1 Lap,20,15,0
Valtteri Bottas,77,+1 Lap,19,16,0
Pierre Gasly,10,+1 Lap,18,17,0
Daniel Ricciardo,3,+1 Lap,16,18,0
Kevin Magnussen,20,+1 Lap,14,19,0
Alexander Albon,23,DNF,11,DNF,0
