FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:24:19.293,4,1,25
Charles Leclerc,16,+0.549,2,2,19
Carlos Sainz,55,+8.097,3,3,15
Sergio Perez,11,+10.800,1,4,12
George Russell,63,+32.732,6,5,10
Esteban Ocon,31,+56.017,5,6,8
Lando Norris,4,+56.124,11,7,6
Pierre Gasly,10,+1:02.946,9,8,4
Kevin Magnussen,20,+1:04.308,10,9,2
Lewis Hamilton,44,+1:13.948,15,10,1
Guanyu Zhou,24,+1:22.215,12,11,0
Nico Hulkenberg,27,+1:31.742,17,12,0
Lance Stroll,18,+1 Lap,13,13,0
Alexander Albon,23,+1 Lap,16,14,0
Valtteri Bottas,77,DNF,8,DNF,0
Fernando Alonso,14,DNF,7,DNF,0
Daniel Ricciardo,3,DNF,14,DNF,0
Nicholas Latifi,6,DNF,18,DNF,0
Yuki Tsunoda,22,DNF,19,DNF,0
Mick Schumacher,47,DNS,DNS,DNS,0
