FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,31:06.146,1,1,8
Carlos Sainz,55,+3.882,5,2,7
Lando Norris,4,+6.240,4,3,6
Charles Leclerc,16,+6.956,3,4,5
George Russell,63,+15.766,2,5,4
Lewis Hamilton,44,+18.724,7,6,3
Kevin Magnussen,20,+25.161,8,7,2
Nico Hulkenberg,27,+26.588,6,8,1
Sergio Perez,11,+29.950,11,9,0
Oscar Piastri,81,+37.059,16,10,0
Yuki Tsunoda,22,+38.363,9,11,0
Franco Colapinto,43,+39.460,10,12,0
Lance Stroll,18,+41.236,13,13,0
Pierre Gasly,10,+41.995,12,14,0
Esteban Ocon,31,+42.804,17,15,0
Liam Lawson,30,+44.008,15,16,0
Alexander Albon,23,+44.564,PLS,17,0
Fernando Alonso,14,+46.807,14,18,0
Guanyu Zhou,24,+52.842,19,19,0
Valtteri Bottas,77,+54.476,18,20,0
