FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:13:24.325,1,1,25
Lando Norris,4,+19.207,2,2,18
Oscar Piastri,81,+21.351,3,3,15
Charles Leclerc,16,+25.624,4,4,12
George Russell,63,+32.881,5,5,10
Lewis Hamilton,44,+37.449,10,6,8
Alexander Albon,23,+50.537,14,7,6
Gabriel Bortoleto,5,+58.484,7,8,4
Kimi Antonelli,12,+59.762,6,9,2
Isack Hadjar,6,+1:03.891,19,10,1
Carlos Sainz,55,+1:04.469,13,11,0
Oliver Bearman,87,+1:19.288,11,12,0
Yuki Tsunoda,22,+1:20.701,9,13,0
Liam Lawson,30,+1:22.351,18,14,0
Esteban Ocon,31,+1 lap,15,15,0
Pierre Gasly,10,+1 lap,20,16,0
Franco Colapinto,43,+1 lap,17,17,0
Lance Stroll,18,+1 lap,16,18,0
Fernando Alonso,14,DNF,8,DNF,0
Nico Hulkenberg,27,DNF,12,DNF,0
