FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lando Norris,4,1:23:47.693,1,1,25
Oscar Piastri,81,+2.695,3,2,18
Charles Leclerc,16,+19.820,2,3,15
Lewis Hamilton,44,+29.020,4,4,12
George Russell,63,+1:02.396,5,5,10
Liam Lawson,30,+1:07.754,6,6,8
Fernando Alonso,14,+1 lap,11,7,6
Gabriel Bortoleto,5,+1 lap,8,8,4
Nico Hulkenberg,27,+1 lap,20,9,2
Esteban Ocon,31,+1 lap,17,10,1
Oliver Bearman,87,+1 lap,15,11,0
Isack Hadjar,6,+1 lap,13,12,0
Pierre Gasly,10,+1 lap,10,13,0
Lance Stroll,18,+1 lap,16,14,0
Franco Colapinto,43,+1 lap,14,15,0
Yuki Tsunoda,22,+1 lap,18,16,0
Alexander Albon,23,DNF,12,DNF,0
Max Verstappen,1,DNF,7,DNF,0
Kimi Antonelli,12,DNF,9,DNF,0
Carlos Sainz,55,DNF,19,DNF,0
