FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lewis Hamilton,44,1:33:07.680,1,1,25
Max Verstappen,33,+15.841,2,2,19
Valtteri Bottas,77,+26.610,3,3,15
Charles Leclerc,16,+54.616,4,4,12
Sergio Perez,11,+1:03.671,8,5,10
Daniel Ricciardo,3,+1:13.768,7,6,8
Carlos Sainz,55,+1:14.670,6,7,6
Lando Norris,4,+1 Lap,9,8,4
Esteban Ocon,31,+1 Lap,5,9,2
Pierre Gasly,10,+1 Lap,12,10,1
Lance Stroll,18,+1 Lap,11,11,0
Kimi Räikkönen,7,+1 Lap,17,12,0
Sebastian Vettel,5,+1 Lap,13,13,0
George Russell,63,+1 Lap,15,14,0
Antonio Giovinazzi,99,+1 Lap,14,15,0
Nicholas Latifi,6,+1 Lap,19,16,0
Fernando Alonso,14,+1 Lap,10,17,0
Mick Schumacher,47,+1 Lap,18,18,0
Nikita Mazepin,9,+1 Lap,20,19,0
Yuki Tsunoda,22,DNF,16,DNF,0
