FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Valtteri Bottas,77,29:09.559,2,1,3
Max Verstappen,33,+1.170,1,2,2
Carlos Sainz,55,+18.723,5,3,1
Sergio Perez,11,+19.787,3,4,0
Lewis Hamilton,44,+20.872,20,5,0
Lando Norris,4,+22.558,7,6,0
Charles Leclerc,16,+25.056,6,7,0
Pierre Gasly,10,+34.158,4,8,0
Esteban Ocon,31,+34.632,10,9,0
Sebastian Vettel,5,+34.867,11,10,0
Daniel Ricciardo,3,+35.869,8,11,0
Fernando Alonso,14,+36.578,9,12,0
Antonio Giovinazzi,99,+41.880,14,13,0
Lance Stroll,18,+44.037,15,14,0
Yuki Tsunoda,22,+46.150,12,15,0
Nicholas Latifi,6,+46.760,16,16,0
George Russell,63,+47.739,17,17,0
Kimi Räikkönen,7,+50.014,13,18,0
Mick Schumacher,47,+1:01.680,18,19,0
Nikita Mazepin,9,+1:07.474,19,20,0
