FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:38:36.729,1,1,25
Lewis Hamilton,44,+15.186,3,2,18
Sergio Perez,11,+18.097,4,3,15
George Russell,63,+49.431,2,4,13
Carlos Sainz,55,+58.123,5,5,10
Charles Leclerc,16,+1:08.774,7,6,8
Daniel Ricciardo,3,+1 Lap,11,7,6
Esteban Ocon,31,+1 Lap,10,8,4
Lando Norris,4,+1 Lap,8,9,2
Valtteri Bottas,77,+1 Lap,6,10,1
Pierre Gasly,10,+1 Lap,14,11,0
Alexander Albon,23,+1 Lap,17,12,0
Guanyu Zhou,24,+1 Lap,12,13,0
Sebastian Vettel,5,+1 Lap,16,14,0
Lance Stroll,18,+1 Lap,20,15,0
Mick Schumacher,47,+1 Lap,15,16,0
Kevin Magnussen,20,+1 Lap,19,17,0
Nicholas Latifi,6,+1 Lap,18,18,0
Fernando Alonso,14,+1 Lap,9,19,0
Yuki Tsunoda,22,DNF,13,DNF,0
