FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lewis Hamilton,44,2:06:15.118,1,1,26
Max Verstappen,33,+11.825,3,2,18
Valtteri Bottas,77,+27.531,2,3,15
Esteban Ocon,31,+27.633,9,4,12
Daniel Ricciardo,3,+40.121,11,5,10
Pierre Gasly,10,+41.613,6,6,8
Charles Leclerc,16,+44.475,4,7,6
Carlos Sainz,55,+46.606,15,8,4
Antonio Giovinazzi,99,+58.505,10,9,2
Lando Norris,4,+1:01.358,7,10,1
Lance Stroll,18,+1:17.212,18,11,0
Nicholas Latifi,6,+1:23.249,16,12,0
Fernando Alonso,14,+1 Lap,13,13,0
Yuki Tsunoda,22,+1 Lap,8,14,0
Kimi Räikkönen,7,+1 Lap,12,15,0
Sebastian Vettel,5,DNF,17,DNF,0
Sergio Perez,11,DNF,5,DNF,0
Nikita Mazepin,9,DNF,20,DNF,0
George Russell,63,DNF,14,DNF,0
Mick Schumacher,47,DNF,19,DNF,0
