FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:33:58.348,1,1,25
Fernando Alonso,14,+9.570,2,2,18
Lewis Hamilton,44,+1 lap,3,3,15
Charles Leclerc,16,+1 lap,10,4,12
Carlos Sainz,55,+1 lap,11,5,10
Sergio Perez,11,+1 lap,12,6,9
Alexander Albon,23,+1 lap,9,7,6
Esteban Ocon,31,+1 lap,6,8,4
Lance Stroll,18,+1 lap,16,9,2
Valtteri Bottas,77,+1 lap,14,10,1
Oscar Piastri,81,+1 lap,8,11,0
Pierre Gasly,10,+1 lap,15,12,0
Lando Norris,4,+1 lap,7,13,0
Yuki Tsunoda,22,+1 lap,19,14,0
Nico Hulkenberg,27,+1 Lap,5,15,0
Guanyu Zhou,24,+1 Lap,20,16,0
Kevin Magnussen,20,+1 Lap,13,17,0
Nyck De Vries,21,+1 Lap,17,18,0
George Russell,63,DNF,4,DNF,0
Logan Sargeant,2,DNF,18,DNF,0
