FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:34:00.161,1,1,25
Lando Norris,4,+7.959,2,2,18
Charles Leclerc,16,+15.373,3,3,15
Lewis Hamilton,44,+28.536,5,4,12
Oscar Piastri,81,+29.678,6,5,10
George Russell,63,+33.456,4,6,8
Yuki Tsunoda,22,+52.714,13,7,6
Nico Hulkenberg,27,+57.249,11,8,4
Oliver Bearman,87,+1:04.722,8,9,2
Fernando Alonso,14,+1:10.001,10,10,1
Liam Lawson,30,+1:13.209,12,11,0
Lance Stroll,18,+1:14.778,19,12,0
Kimi Antonelli,12,+1:15.746,7,13,0
Alexander Albon,23,+1:20.000,18,14,0
Esteban Ocon,31,+1:23.043,17,15,0
Isack Hadjar,6,+1:32.807,20,16,0
Franco Colapinto,43,+1 lap,15,17,0
Gabriel Bortoleto,5,+1 lap,16,18,0
Pierre Gasly,10,+1 lap,14,19,0
Carlos Sainz,55,DNF,9,DNF,0
