FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:36:21.757,1,1,25
Carlos Sainz,55,+0.993,3,2,19
Lewis Hamilton,44,+7.006,4,3,15
George Russell,63,+12.313,8,4,12
Charles Leclerc,16,+15.168,19,5,10
Esteban Ocon,31,+23.890,7,6,8
Valtteri Bottas,77,+25.247,11,7,6
Guanyu Zhou,24,+26.952,10,8,4
Fernando Alonso,14,+29.945,2,9,2
Lance Stroll,18,+38.222,17,10,1
Daniel Ricciardo,3,+43.047,9,11,0
Sebastian Vettel,5,+44.245,16,12,0
Alexander Albon,23,+44.893,12,13,0
Pierre Gasly,10,+45.183,15,14,0
Lando Norris,4,+52.145,14,15,0
Nicholas Latifi,6,+59.978,18,16,0
Kevin Magnussen,20,+1:08.180,5,17,0
Yuki Tsunoda,22,DNF,20,DNF,0
Mick Schumacher,47,DNF,6,DNF,0
Sergio Perez,11,DNF,13,DNF,0
