FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Oscar Piastri,81,1:21:06.758,2,1,25
Max Verstappen,1,+2.843,1,2,18
Charles Leclerc,16,+8.104,4,3,15
Lando Norris,4,+9.196,10,4,12
George Russell,63,+27.236,3,5,10
Kimi Antonelli,12,+34.688,5,6,8
Lewis Hamilton,44,+39.073,7,7,6
Carlos Sainz,55,+1:04.630,6,8,4
Alexander Albon,23,+1:06.515,11,9,2
Isack Hadjar,6,+1:07.091,14,10,1
Fernando Alonso,14,+1:15.917,13,11,0
Liam Lawson,30,+1:18.451,12,12,0
Oliver Bearman,87,+1:19.194,15,13,0
Esteban Ocon,31,+1:39.723,19,14,0
Nico Hulkenberg,27,+1 Lap,18,15,0
Lance Stroll,18,+1 Lap,16,16,0
Jack Doohan,7,+1 Lap,17,17,0
Gabriel Bortoleto,5,+1 Lap,20,18,0
Yuki Tsunoda,22,DNF,8,DNF,0
Pierre Gasly,10,DNF,9,DNF,0
