FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Charles Leclerc,16,1:24:24.312,2,1,25
Max Verstappen,1,+1.532,1,2,19
Lewis Hamilton,44,+41.217,8,3,15
George Russell,63,+58.972,4,4,12
Esteban Ocon,31,+1:08.436,6,5,10
Mick Schumacher,47,+1 Lap,9,6,8
Lando Norris,4,+1 Lap,10,7,6
Kevin Magnussen,20,+1 Lap,7,8,4
Daniel Ricciardo,3,+1 Lap,11,9,2
Fernando Alonso,14,+1 Lap,19,10,1
Valtteri Bottas,77,+1 Lap,PLS,11,0
Alexander Albon,23,+1 Lap,15,12,0
Lance Stroll,18,+1 Lap,12,13,0
Guanyu Zhou,24,+1 Lap,13,14,0
Pierre Gasly,10,+1 Lap,14,15,0
Yuki Tsunoda,22,+1 Lap,16,16,0
Sebastian Vettel,5,+1 Lap,18,17,0
Carlos Sainz,55,DNF,3,DNF,0
Nicholas Latifi,6,DNF,17,DNF,0
Sergio Perez,11,DNF,5,DNF,0
