FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:54:23.566,1,1,26
Sergio Perez,11,+12.535,2,2,18
Carlos Sainz,55,+20.866,4,3,15
Charles Leclerc,16,+26.522,8,4,12
Lando Norris,4,+29.700,3,5,10
Fernando Alonso,14,+44.272,5,6,8
George Russell,63,+45.951,9,7,6
Oscar Piastri,81,+47.525,6,8,4
Lewis Hamilton,44,+48.626,7,9,2
Yuki Tsunoda,22,+1 Lap,10,10,1
Nico Hulkenberg,27,+1 Lap,12,11,0
Lance Stroll,18,+1 Lap,16,12,0
Kevin Magnussen,20,+1 Lap,18,13,0
Valtteri Bottas,77,+1 Lap,13,14,0
Esteban Ocon,31,+1 Lap,15,15,0
Pierre Gasly,10,+1 Lap,17,16,0
Logan Sargeant,2,+1 Lap,19,17,0
Guanyu Zhou,24,DNF,20,DNF,0
Daniel Ricciardo,3,DNF,11,DNF,0
Alexander Albon,23,DNF,14,DNF,0
