FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:37:20.475,2,1,25
Sergio Perez,11,+13.072,5,2,19
George Russell,63,+32.927,4,3,15
Carlos Sainz,55,+45.208,3,4,12
Lewis Hamilton,44,+54.534,6,5,10
Valtteri Bottas,77,+59.976,7,6,8
Esteban Ocon,31,+1:15.397,12,7,6
Lando Norris,4,+1:23.235,11,8,4
Fernando Alonso,14,+1 Lap,20,9,2
Yuki Tsunoda,22,+1 Lap,13,10,1
Sebastian Vettel,5,+1 Lap,16,11,0
Daniel Ricciardo,3,+1 Lap,9,12,0
Pierre Gasly,10,+1 Lap,14,13,0
Mick Schumacher,47,+1 Lap,10,14,0
Lance Stroll,18,+1 Lap,17,15,0
Nicholas Latifi,6,+1 Lap,19,16,0
Kevin Magnussen,20,+1 Lap,8,17,0
Alexander Albon,23,+1 Lap,18,18,0
Guanyu Zhou,24,DNF,15,DNF,0
Charles Leclerc,16,DNF,1,DNF,0
