FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:56:48.894,1,1,25
Lando Norris,4,+8.277,6,2,19
Fernando Alonso,14,+34.155,4,3,15
Sergio Perez,11,+34.208,9,4,12
Lance Stroll,18,+40.845,3,5,10
Carlos Sainz,55,+50.188,7,6,8
Pierre Gasly,10,+56.093,15,7,6
Lewis Hamilton,44,+1:02.859,5,8,4
Yuki Tsunoda,22,+1:09.880,16,9,2
Esteban Ocon,31,+1 lap,14,10,1
Logan Sargeant,2,+1 lap,19,11,0
Nico Hulkenberg,27,+1 lap,11,12,0
Daniel Ricciardo,3,+1 lap,17,13,0
Oscar Piastri,81,+1 lap,10,14,0
George Russell,63,DNF,8,DNF,0
Valtteri Bottas,77,DNF,18,DNF,0
Guanyu Zhou,24,DNF,20,DNF,0
Kevin Magnussen,20,DNF,12,DNF,0
Alexander Albon,23,DNF,13,DNF,0
Charles Leclerc,16,DNF,2,DNF,0
