FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lando Norris,4,1:30:49.876,5,1,25
Max Verstappen,1,+7.612,1,2,18
Charles Leclerc,16,+9.920,2,3,15
Sergio Perez,11,+14.650,4,4,12
Carlos Sainz,55,+16.407,3,5,10
Lewis Hamilton,44,+16.585,8,6,8
Yuki Tsunoda,22,+26.185,10,7,6
George Russell,63,+34.789,7,8,4
Fernando Alonso,14,+37.107,15,9,2
Esteban Ocon,31,+39.746,13,10,1
Nico Hulkenberg,27,+40.789,9,11,0
Pierre Gasly,10,+44.958,12,12,0
Oscar Piastri,81,+49.756,6,13,0
Guanyu Zhou,24,+49.979,19,14,0
Daniel Ricciardo,3,+50.956,20,15,0
Valtteri Bottas,77,+52.356,16,16,0
Lance Stroll,18,+55.173,11,17,0
Alexander Albon,23,+1:16.091,14,18,0
Kevin Magnussen,20,+1:24.683,18,19,0
Logan Sargeant,2,DNF,17,DNF,0
