FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Charles Leclerc,16,1:27:46.548,1,1,26
Sergio Perez,11,+20.524,3,2,18
George Russell,63,+25.593,6,3,15
Lewis Hamilton,44,+28.543,5,4,12
Lando Norris,4,+53.303,4,5,10
Daniel Ricciardo,3,+53.737,7,6,8
Esteban Ocon,31,+1:01.683,8,7,6
Valtteri Bottas,77,+1:08.439,12,8,4
Pierre Gasly,10,+1:16.221,11,9,2
Alexander Albon,23,+1:19.382,20,10,1
Guanyu Zhou,24,+1:21.695,14,11,0
Lance Stroll,18,+1:28.598,19,12,0
Mick Schumacher,47,+1 Lap,15,13,0
Kevin Magnussen,20,+1 Lap,16,14,0
Yuki Tsunoda,22,+1 Lap,13,15,0
Nicholas Latifi,6,+1 Lap,18,16,0
Fernando Alonso,14,+1 Lap,10,17,0
Max Verstappen,1,DNF,2,DNF,0
Sebastian Vettel,5,DNF,17,DNF,0
Carlos Sainz,55,DNF,9,DNF,0
