FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:33:56.736,1,1,25
Sergio Perez,11,+11.987,2,2,18
Fernando Alonso,14,+38.637,5,3,15
Carlos Sainz,55,+48.052,4,4,12
Lewis Hamilton,44,+50.977,7,5,10
Lance Stroll,18,+54.502,8,6,8
George Russell,63,+55.873,6,7,6
Valtteri Bottas,77,+1:12.647,12,8,4
Pierre Gasly,10,+1:13.753,20,9,2
Alexander Albon,23,+1:29.774,15,10,1
Yuki Tsunoda,22,+1:30.870,14,11,0
Logan Sargeant,2,+1 Lap,16,12,0
Kevin Magnussen,20,+1 Lap,17,13,0
Nyck De Vries,21,+1 Lap,19,14,0
Nico Hulkenberg,27,+1 Lap,10,15,0
Guanyu Zhou,24,+1 Lap,13,16,0
Lando Norris,4,+1 Lap,11,17,0
Esteban Ocon,31,DNF,9,DNF,0
Charles Leclerc,16,DNF,3,DNF,0
Oscar Piastri,81,DNF,18,DNF,0
