FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,24:58.433,1,1,8
Oscar Piastri,81,+6.677,2,2,7
Pierre Gasly,10,+10.733,6,3,6
Carlos Sainz,55,+12.648,3,4,5
Charles Leclerc,16,+15.016,4,5,4
Lando Norris,4,+16.052,5,6,3
Lewis Hamilton,44,+16.757,7,7,2
George Russell,63,+16.822,10,8,1
Esteban Ocon,31,+22.410,9,9,0
Daniel Ricciardo,3,+22.806,11,10,0
Lance Stroll,18,+25.007,14,11,0
Alexander Albon,23,+26.303,12,12,0
Valtteri Bottas,77,+27.006,17,13,0
Kevin Magnussen,20,+32.986,18,14,0
Guanyu Zhou,24,+36.342,19,15,0
Logan Sargeant,2,+37.571,13,16,0
Nico Hulkenberg,27,+37.827,20,17,0
Yuki Tsunoda,22,+39.267,16,18,0
Sergio Perez,11,DNF,8,DNF,0
Fernando Alonso,14,DNF,15,DNF,0
