FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:33:26.408,1,1,25
George Russell,63,+14.609,5,2,18
Carlos Sainz,55,+19.199,2,3,15
Kimi Antonelli,12,+21.760,4,4,12
Liam Lawson,30,+33.290,3,5,10
Yuki Tsunoda,22,+33.808,6,6,8
Lando Norris,4,+34.227,7,7,6
Lewis Hamilton,44,+36.310,12,8,4
Charles Leclerc,16,+36.774,10,9,2
Isack Hadjar,6,+38.982,8,10,1
Gabriel Bortoleto,5,+1:07.606,13,11,0
Oliver Bearman,87,+1:08.262,15,12,0
Alexander Albon,23,+1:12.870,19,13,0
Esteban Ocon,31,+1:17.580,20,14,0
Fernando Alonso,14,+1:18.707,11,15,0
Nico Hulkenberg,27,+1:20.237,17,16,0
Lance Stroll,18,+1:36.392,14,17,0
Pierre Gasly,10,+1 lap,18,18,0
Franco Colapinto,43,+1 lap,16,19,0
Oscar Piastri,81,DNF,9,DNF,0
