FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lando Norris,4,53:25.928,1,1,8
Kimi Antonelli,12,+0.845,2,2,7
George Russell,63,+2.318,4,3,6
Max Verstappen,1,+4.423,6,4,5
Charles Leclerc,16,+16.483,8,5,4
Fernando Alonso,14,+18.306,5,6,3
Lewis Hamilton,44,+18.603,11,7,2
Pierre Gasly,10,+19.366,13,8,1
Lance Stroll,18,+23.933,7,9,0
Isack Hadjar,6,+29.548,9,10,0
Esteban Ocon,31,+31.000,18,11,0
Oliver Bearman,87,+36.334,15,12,0
Yuki Tsunoda,22,+38.462,19,13,0
Carlos Sainz,55,+38.951,20,14,0
Nico Hulkenberg,27,+42.349,10,15,0
Liam Lawson,30,+43.090,17,16,0
Alexander Albon,23,+55.456,12,17,0
Gabriel Bortoleto,5,DNF,14,DNF,0
Oscar Piastri,81,DNF,3,DNF,0
Franco Colapinto,43,DNF,16,DNF,0
