FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:28:20.227,2,1,25
Lando Norris,4,+2.219,1,2,19
Lewis Hamilton,44,+17.790,3,3,15
George Russell,63,+22.320,4,4,12
Charles Leclerc,16,+22.709,5,5,10
Carlos Sainz,55,+31.028,6,6,8
Oscar Piastri,81,+33.760,9,7,6
Sergio Perez,11,+59.524,11,8,4
Pierre Gasly,10,+1:02.025,7,9,2
Esteban Ocon,31,+1:11.889,8,10,1
Nico Hulkenberg,27,+1:19.215,13,11,0
Fernando Alonso,14,+1 Lap,10,12,0
Guanyu Zhou,24,+1 Lap,15,13,0
Lance Stroll,18,+1 Lap,14,14,0
Daniel Ricciardo,3,+1 Lap,18,15,0
Valtteri Bottas,77,+1 Lap,12,16,0
Kevin Magnussen,20,+1 Lap,16,17,0
Alexander Albon,23,+1 Lap,PLS,18,0
Yuki Tsunoda,22,+1 Lap,17,19,0
Logan Sargeant,2,+1 Lap,19,20,0
