FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Carlos Sainz,55,1:20:26.843,2,1,25
Charles Leclerc,16,+2.366,4,2,19
Lando Norris,4,+5.904,3,3,15
Oscar Piastri,81,+35.770,5,4,12
Sergio Perez,11,+56.309,6,5,10
Lance Stroll,18,+1:33.222,9,6,8
Yuki Tsunoda,22,+1:35.601,8,7,6
Fernando Alonso,14,+1:40.992,10,8,4
Nico Hulkenberg,27,+1:44.553,16,9,2
Kevin Magnussen,20,+1 Lap,14,10,1
Alexander Albon,23,+1 Lap,12,11,0
Daniel Ricciardo,3,+1 Lap,18,12,0
Pierre Gasly,10,+1 Lap,17,13,0
Valtteri Bottas,77,+1 Lap,13,14,0
Guanyu Zhou,24,+1 Lap,19,15,0
Esteban Ocon,31,+1 Lap,15,16,0
George Russell,63,+1 Lap,7,17,0
Lewis Hamilton,44,DNF,11,DNF,0
Max Verstappen,1,DNF,1,DNF,0
