FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:35:21.362,6,1,25
Lando Norris,4,+10.730,2,2,18
Carlos Sainz,55,+15.134,4,3,15
Sergio Perez,11,+18.460,9,4,12
George Russell,63,+24.999,5,5,10
Pierre Gasly,10,+47.996,7,6,8
Lance Stroll,18,+48.696,20,7,6
Yuki Tsunoda,22,+1:14.385,11,8,5
Alexander Albon,23,+1:26.714,15,9,2
Logan Sargeant,2,+1:27.998,16,10,1
Nico Hulkenberg,27,+1:29.904,18,11,0
Valtteri Bottas,77,+1:38.601,13,12,0
Guanyu Zhou,24,+1 lap,12,13,0
Kevin Magnussen,20,+1 lap,17,14,0
Daniel Ricciardo,3,+1 lap,14,15,0
Fernando Alonso,14,DNF,19,DNF,0
Oscar Piastri,81,DNF,10,DNF,0
Esteban Ocon,31,DNF,8,DNF,0
Lewis Hamilton,44,DSQ,3,DSQ,0
Charles Leclerc,16,DSQ,1,DSQ,0
