FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:42:11.687,2,1,25
Lewis Hamilton,44,+5.023,3,2,18
Charles Leclerc,16,+7.501,12,3,15
Sergio Perez,11,+8.293,9,4,12
George Russell,63,+44.815,4,5,11
Lando Norris,4,+53.785,6,6,8
Fernando Alonso,14,+55.078,14,7,6
Sebastian Vettel,5,+1:05.354,10,8,4
Kevin Magnussen,20,+1:05.834,13,9,2
Yuki Tsunoda,22,+1:10.919,19,10,1
Esteban Ocon,31,+1:12.875,PLS,11,0
Guanyu Zhou,24,+1:16.164,18,12,0
Alexander Albon,23,+1:20.057,8,13,0
Pierre Gasly,10,+1:21.763,11,14,0
Mick Schumacher,47,+1:24.490,16,15,0
Daniel Ricciardo,3,+1:30.487,15,16,0
Nicholas Latifi,6,+1:43.588,17,17,0
Lance Stroll,18,DNF,5,DNF,0
Valtteri Bottas,77,DNF,7,DNF,0
Carlos Sainz,55,DNF,1,DNF,0
