FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,33,1:38:56.820,2,1,25
Carlos Sainz,55,+8.968,4,2,18
Lando Norris,4,+19.427,5,3,15
Sergio Perez,11,+20.490,9,4,12
Sebastian Vettel,5,+52.591,8,5,10
Pierre Gasly,10,+53.896,6,6,8
Lewis Hamilton,44,+1:08.231,7,7,7
Lance Stroll,18,+1 Lap,13,8,4
Esteban Ocon,31,+1 Lap,11,9,2
Antonio Giovinazzi,99,+1 Lap,10,10,1
Kimi Räikkönen,7,+1 Lap,14,11,0
Daniel Ricciardo,3,+1 Lap,12,12,0
Fernando Alonso,14,+1 Lap,17,13,0
George Russell,63,+1 Lap,15,14,0
Nicholas Latifi,6,+1 Lap,18,15,0
Yuki Tsunoda,22,+1 Lap,16,16,0
Nikita Mazepin,9,+1 Lap,19,17,0
Mick Schumacher,47,+1 Lap,20,18,0
Valtteri Bottas,77,DNF,3,DNF,0
Charles Leclerc,16,DNS,DNS,DNS,0
