FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:25:33.607,1,1,26
Charles Leclerc,16,+5.155,2,2,18
Sergio Perez,11,+17.188,15,3,15
Lando Norris,4,+26.327,4,4,12
Fernando Alonso,14,+30.317,7,5,10
Carlos Sainz,55,+31.377,3,6,8
George Russell,63,+48.403,11,7,6
Lewis Hamilton,44,+49.196,5,8,4
Lance Stroll,18,+59.043,6,9,2
Pierre Gasly,10,+1:07.667,9,10,1
Alexander Albon,23,+1:19.767,10,11,0
Guanyu Zhou,24,+1 lap,17,12,0
Logan Sargeant,2,+1 lap,18,13,0
Esteban Ocon,31,+1 lap,12,14,0
Valtteri Bottas,77,+1 lap,14,15,0
Oscar Piastri,81,+1 lap,13,16,0
Nyck De Vries,21,+1 lap,20,17,0
Kevin Magnussen,20,+1 lap,19,18,0
Yuki Tsunoda,22,+1 lap,16,19,0
Nico Hulkenberg,27,DNF,8,DNF,0
