FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,32:04.660,4,1,8
Lewis Hamilton,44,+13.043,2,2,7
Sergio Perez,11,+15.258,6,3,6
Charles Leclerc,16,+17.486,7,4,5
Carlos Sainz,55,+20.696,5,5,4
Lando Norris,4,+22.088,1,6,3
Oscar Piastri,81,+24.713,8,7,2
George Russell,63,+25.696,11,8,1
Guanyu Zhou,24,+31.951,10,9,0
Kevin Magnussen,20,+37.398,12,10,0
Daniel Ricciardo,3,+37.840,14,11,0
Valtteri Bottas,77,+38.295,9,12,0
Esteban Ocon,31,+39.841,17,13,0
Lance Stroll,18,+40.299,15,14,0
Pierre Gasly,10,+40.838,16,15,0
Yuki Tsunoda,22,+41.870,19,16,0
Alexander Albon,23,+42.998,18,17,0
Logan Sargeant,2,+46.352,20,18,0
Nico Hulkenberg,27,+49.630,13,19,0
Fernando Alonso,14,DNF,3,DNF,0
