FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,33,1:27:25.770,1,1,26
Lewis Hamilton,44,+2.904,2,2,18
Sergio Perez,11,+8.811,4,3,15
Valtteri Bottas,77,+14.618,3,4,12
Lando Norris,4,+1:04.032,8,5,10
Daniel Ricciardo,3,+1:15.857,10,6,8
Pierre Gasly,10,+1:16.596,6,7,6
Fernando Alonso,14,+1:17.695,9,8,4
Sebastian Vettel,5,+1:19.666,12,9,2
Lance Stroll,18,+1:31.946,19,10,1
Carlos Sainz,55,+1:39.337,5,11,0
George Russell,63,+1 Lap,14,12,0
Yuki Tsunoda,22,+1 Lap,PLS,13,0
Esteban Ocon,31,+1 Lap,11,14,0
Antonio Giovinazzi,99,+1 Lap,13,15,0
Charles Leclerc,16,+1 Lap,7,16,0
Kimi Räikkönen,7,+1 Lap,17,17,0
Nicholas Latifi,6,+1 Lap,16,18,0
Mick Schumacher,47,+1 Lap,15,19,0
Nikita Mazepin,9,+1 Lap,18,20,0
