FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Carlos Sainz,55,1:40:55.800,1,1,25
Lando Norris,4,+4.705,3,2,18
Charles Leclerc,16,+34.387,4,3,16
Lewis Hamilton,44,+44.780,6,4,12
George Russell,63,+48.536,5,5,10
Max Verstappen,1,+59.558,2,6,8
Kevin Magnussen,20,+1:03.642,7,7,6
Oscar Piastri,81,+1:04.928,17,8,4
Nico Hulkenberg,27,+1 Lap,10,9,2
Pierre Gasly,10,+1 Lap,8,10,1
Lance Stroll,18,+1 Lap,14,11,0
Franco Colapinto,43,+1 Lap,16,12,0
Esteban Ocon,31,+1 Lap,PLS,13,0
Valtteri Bottas,77,+1 Lap,15,14,0
Guanyu Zhou,24,+1 Lap,19,15,0
Liam Lawson,30,+1 Lap,12,16,0
Sergio Perez,11,+1 Lap,18,17,0
Fernando Alonso,14,DNF,13,DNF,0
Alexander Albon,23,DNF,9,DNF,0
Yuki Tsunoda,22,DNF,11,DNF,0
